site,depth,bank,id,cd,cw,l1s,l4s,t1c,th,ch,cs
Pulley Ridge,mesophotic,pulley.mesophotic,PR170,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR187,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR189,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR214,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR216,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR219,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR221,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR222,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR223,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR224,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR226,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR227,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR228,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR230,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR231,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR232,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR233,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR235,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR236,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR238,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR243,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR246,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR247,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR248,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR250,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR251,,,,,,,,
Dry Tortugas,shallow,tortugas.shallow,PR252,,,,,,,,
